"Filename","r-base","ms-deberta","distilb","r-large","albert","Mittelwert"
"1950_53_Seite_21.txt",0.1,0.4,1.4,0.5,0.7,0.6
"1950_53_Seite_210.txt",2.4,100,95.6,100,100,79.6
"1950_53_Seite_211.txt",90.2,99.9,93.2,100,99.9,96.6
"1950_53_Seite_212.txt",0.5,100,95.6,100,100,79.2
"1950_53_Seite_213.txt",0.2,99.8,92.6,100,99.9,78.5
"1950_53_Seite_214.txt",100,99.9,99.5,100,10.7,82
"1950_53_Seite_215.txt",99.8,0.3,22.1,100,100,64.4
"1950_53_Seite_216.txt",9.2,100,98.7,100,99.9,81.6
"1950_53_Seite_217.txt",100,99.9,99.3,100,100,99.8
"1950_53_Seite_218.txt",49.4,99.4,93.9,100,100,88.5
"1950_53_Seite_219.txt",44.5,99.9,99.1,100,100,88.7
"1950_53_Seite_22.txt",0.9,0.4,2.8,99,99.3,40.5
"1950_53_Seite_220.txt",99.2,0.2,94.6,100,18,62.4
"1950_53_Seite_221.txt",0.4,0.3,58.1,99.7,9.2,33.5
"1950_53_Seite_222.txt",4.9,2.6,17.7,100,88.8,42.8
"1950_53_Seite_223.txt",100,100,96.8,100,100,99.3
"1950_53_Seite_224.txt",100,100,98.9,100,99.9,99.8
"1950_53_Seite_225.txt",100,100,99.3,100,99.9,99.8
"1950_53_Seite_226.txt",100,100,98.9,100,99.9,99.8
"1950_53_Seite_227.txt",100,100,98.5,100,99.9,99.7
"1950_53_Seite_228.txt",100,99.9,98.1,100,99.9,99.6
"1950_53_Seite_229.txt",100,99.8,99.8,100,100,99.9
"1950_53_Seite_23.txt",0.2,0.3,1.5,99.9,2,20.8
"1950_53_Seite_230.txt",100,100,99.7,100,100,99.9
"1950_53_Seite_231.txt",100,99.8,99.5,100,100,99.9
"1950_53_Seite_232.txt",100,99.8,99.5,100,100,99.9
"1950_53_Seite_233.txt",4,0.2,92.9,99.9,9.8,41.4
"1950_53_Seite_234.txt",100,100,96.5,100,100,99.3
"1950_53_Seite_235.txt",100,99.9,99.3,100,100,99.8
"1950_53_Seite_236.txt",98.7,100,93.3,100,100,98.4
"1950_53_Seite_237.txt",100,99.9,99.8,100,100,99.9
"1950_53_Seite_238.txt",100,100,99.8,100,100,100
"1950_53_Seite_239.txt",100,99.9,99.6,100,100,99.9
"1950_53_Seite_24.txt",0.3,0.3,1.4,54.1,2.4,11.7
"1950_53_Seite_240.txt",100,99.9,29.3,100,100,85.8
"1950_53_Seite_241.txt",100,99.8,99.8,100,100,99.9
"1950_53_Seite_242.txt",1.7,0.3,93.8,100,56.6,50.5
"1950_53_Seite_243.txt",0.1,99.7,16,100,99.5,63.1
"1950_53_Seite_244.txt",0.1,0.2,94.9,99.8,27,44.4
"1950_53_Seite_245.txt",0,0.3,1.2,0.1,0.6,0.4
"1950_53_Seite_246.txt",0.1,0.2,9.2,98.9,20,25.7
"1950_53_Seite_247.txt",99.4,100,97.8,100,100,99.4
"1950_53_Seite_248.txt",100,99.9,11.7,100,100,82.3
"1950_53_Seite_249.txt",100,99.9,99.2,100,100,99.8
"1950_53_Seite_25.txt",2.2,0.5,2.2,100,7.3,22.4
"1950_53_Seite_250.txt",99.9,100,97.9,100,100,99.5
"1950_53_Seite_251.txt",100,100,99.8,100,100,100
"1950_53_Seite_252.txt",100,100,99.8,100,100,99.9
"1950_53_Seite_253.txt",100,100,99.8,100,100,99.9
"1950_53_Seite_254.txt",3.1,100,95,100,100,79.6
"1950_53_Seite_255.txt",6.4,99.9,11,100,100,63.5
"1950_53_Seite_256.txt",0.8,99.9,99,100,100,79.9
"1950_53_Seite_257.txt",100,100,99.9,100,100,100
"1950_53_Seite_258.txt",0.1,0.2,10,99.9,1.4,22.3
"1950_53_Seite_259.txt",0.1,100,3.2,100,0.9,40.8
"1950_53_Seite_26.txt",2,2.2,1.5,92.1,1.2,19.8
"1950_53_Seite_260.txt",0.1,0.2,1.1,0,0.6,0.4
"1950_53_Seite_261.txt",0.1,0.2,1.8,0,0.7,0.5
"1950_53_Seite_262.txt",0.1,0.2,1.8,0,0.9,0.6
"1950_53_Seite_263.txt",0.1,0.2,2.4,0,0.9,0.7
"1950_53_Seite_264.txt",0,0.2,1.1,0,0.5,0.4
"1950_53_Seite_265.txt",99.9,99.9,93.2,100,100,98.6
"1950_53_Seite_266.txt",100,99.6,99.7,100,100,99.9
"1950_53_Seite_267.txt",100,100,91.1,100,100,98.2
"1950_53_Seite_268.txt",100,98.9,99.6,100,100,99.7
"1950_53_Seite_269.txt",100,99.9,99.8,100,100,99.9
"1950_53_Seite_27.txt",100,100,99.8,100,100,99.9
"1950_53_Seite_270.txt",100,100,95.6,100,100,99.1
"1950_53_Seite_271.txt",100,100,99.6,100,100,99.9
"1950_53_Seite_272.txt",7,0.2,27.6,1.4,5,8.2
"1950_53_Seite_273.txt",0.1,0.2,2.5,0,0.5,0.7
"1950_53_Seite_274.txt",0.1,0.2,2.8,0,0.5,0.7
"1950_53_Seite_275.txt",0.1,0.2,2.6,0,0.5,0.7
"1950_53_Seite_276.txt",0.1,0.2,3.1,0,0.5,0.8
