"Filename","r-base","ms-deberta","distilb","r-large","albert","Mittelwert"
"1950_53_Seite_37.txt",98.9,0.2,97.1,100,43.7,68
"1950_53_Seite_46.txt",0.4,99.9,42.2,100,99.9,68.5
"1950_53_Seite_170.txt",23.5,99.9,22.5,100,99.8,69.1
"1950_53_Seite_50.txt",51.8,2.8,91.6,100,99,69.1
"1950_53_Seite_93.txt",99.2,0.2,95,100,53.9,69.7
"1950_53_Seite_440.txt",3.5,99.5,80.9,100,65.2,69.8
"1950_53_Seite_453.txt",0.4,99.8,59.9,100,94.7,70.9
"1950_53_Seite_168.txt",0.8,99.9,56.3,100,100,71.4
"1950_53_Seite_189.txt",97.8,0.5,61.4,100,100,71.9
"1950_53_Seite_400.txt",99.9,9.6,55.6,100,100,73
"1950_53_Seite_392.txt",2.2,98.7,66.4,100,99.9,73.4
"1950_53_Seite_92.txt",68.2,99.9,4.5,100,100,74.5
"1950_53_Seite_160.txt",23.7,99.3,50.4,100,99.8,74.6
"1950_53_Seite_122.txt",96.6,0.9,77.2,100,100,74.9
"1950_53_Seite_148.txt",92,0.3,97.3,100,85.4,75
"1950_53_Seite_293.txt",0.1,100,76.5,100,100,75.3
"1950_53_Seite_437.txt",79.6,7.2,96.2,100,95.8,75.8
"1950_53_Seite_506.txt",83.4,0.6,98.8,100,100,76.5
"1950_53_Seite_134.txt",18,100,70.4,100,100,77.7
"1950_53_Seite_316.txt",0.2,100,96.9,100,93.2,78.1
"1950_53_Seite_458.txt",13.4,98.9,78,100,100,78.1
"1950_53_Seite_119.txt",0.8,99.9,90.7,100,99.9,78.3
"1950_53_Seite_213.txt",0.2,99.8,92.6,100,99.9,78.5
"1950_53_Seite_38.txt",97.1,0.3,95.1,100,99.9,78.5
"1950_53_Seite_473.txt",99.8,3,91.6,100,100,78.9
"1950_53_Seite_344.txt",97.4,98.4,99.1,0.4,99.9,79
"1950_53_Seite_459.txt",63,100,33.4,100,98.9,79
"1950_53_Seite_72.txt",0.6,98.9,96.2,100,100,79.1
"1950_53_Seite_212.txt",0.5,100,95.6,100,100,79.2
"1950_53_Seite_202.txt",10.6,99.2,86.8,100,100,79.3
"1950_53_Seite_31.txt",99.3,0.2,97.2,100,99.6,79.3
"1950_53_Seite_71.txt",0.3,99.8,96.2,99.9,100,79.3
"1950_53_Seite_353.txt",0.8,99.6,96.9,100,100,79.5
"1950_53_Seite_196.txt",0.4,100,97.6,100,100,79.6
"1950_53_Seite_210.txt",2.4,100,95.6,100,100,79.6
"1950_53_Seite_254.txt",3.1,100,95,100,100,79.6
"1950_53_Seite_460.txt",2.2,99.9,96.4,100,100,79.7
"1950_53_Seite_163.txt",0.5,100,99.2,100,100,79.9
"1950_53_Seite_2.txt",99.9,99.8,98.6,1.5,99.4,79.9
"1950_53_Seite_203.txt",10.4,99.5,89.7,100,100,79.9
"1950_53_Seite_256.txt",0.8,99.9,99,100,100,79.9
"1950_53_Seite_372.txt",99.6,3.3,96.5,100,99.9,79.9
"1950_53_Seite_422.txt",0.1,99.7,99.5,100,100,79.9
"1950_53_Seite_200.txt",1.9,99.5,99,100,100,80.1
"golden ball.txt",100,99.9,99.6,100,1.7,80.2
"1950_53_Seite_340.txt",2.8,99.8,99.6,100,100,80.4
"1950_53_Seite_435.txt",99.8,100,2,100,100,80.4
"1950_53_Seite_88.txt",3,99.8,99.8,100,100,80.5
"1950_53_Seite_381.txt",4.5,99,99.7,100,100,80.6
"1950_53_Seite_443.txt",4.3,99.5,99.2,100,100,80.6
"1950_53_Seite_195.txt",13.4,99.7,93.4,100,100,81.3
"1950_53_Seite_397.txt",8.5,99.5,98.4,100,100,81.3
"1950_53_Seite_216.txt",9.2,100,98.7,100,99.9,81.6
"1950_53_Seite_214.txt",100,99.9,99.5,100,10.7,82
"1950_53_Seite_248.txt",100,99.9,11.7,100,100,82.3
"1950_53_Seite_360.txt",12.2,99.9,99.8,100,100,82.4
"1950_53_Seite_30.txt",100,99.8,99.8,100,13.5,82.6
"1950_53_Seite_465.txt",13.5,100,99.6,100,100,82.6
"1950_53_Seite_467.txt",99.9,99.8,15,100,100,83
"1950_53_Seite_492.txt",100,98.7,16.5,100,100,83
